,location,comment,cm_star,ID,tagging
0,迷客夏 臺北士林店,"沒喝過那麼難喝的迷客夏==
才喝一口就決定要給負評，連一顆星都不想給(^_^)v 整杯都水味，做茶的店員看起來根本不會用，一直問在點餐的，加一個東西就站在那邊猶豫20秒，果然做出來真的難喝的跟水一樣（買去冰的不會有冰融化的問題，而且是在店門口插下去喝就沒味道），同行友人另一杯點微糖的還比我半糖的甜，真的是問號到不行。

70元買一杯水呵呵😑😑😑", 1 顆星 ,0,"茶, "
1,迷客夏 臺北士林店,"點餐前我還特別確認有沒有一分糖，結果飲料做出來甜到以為在喝茶魔。
到底是怎樣素質的店員，才能把這麼清楚明了又簡單的飲料做成這個樣子？貴公司的員工訓練去哪裡了？
我相信外役監的逃獄犯來搖飲料都能做的比你這家店好，認真一點好嗎", 1 顆星 ,1,"茶, "
2,迷客夏 臺北士林店,"要價95塊錢ㄉ🍇
料粉多，喝完蠻有飽足感的，但畢竟不是主打的系列，下次還是乖乖買小農鮮奶的產品吧", 5 顆星 ,3,"鮮奶, "
3,迷客夏 臺北士林店,"士林店 迷客夏
曾經還沒有很多
飲料店可以選擇的時候
我心目中有迷客夏
但近期有多種
飲料店可以選擇的時候
我心中已沒有迷客夏
再也不想消費迷客夏
再也不會想喝迷客夏
消費力大為降低很多
吸引力大為降低很多
不會留給迷客夏任何機會
從此不告而別再也不見
轉移到跳槽到其他間
我心中榜上有名的飲料店
曾經喜愛喝的
茉莉綠茶 好喝規好喝
微糖還是過甜很不及格
還不如喝 50嵐 茉莉綠茶
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
還不如喝 七盞茶 碧玉幽蘭
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
還不如喝 滿溢 茉莉原萃綠茶
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
還不如喝 再睡5分鐘 午茉綠
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
原片初露青茶 曾點過喝沒幾口
微糖還是過甜到不行難喝到不行
給了印象最深刻的回憶
香柚綠茶 好喝規好喝
還不如喝 50嵐 柚子綠茶
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
還不如喝 七盞茶 香柚翡翠
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
柳丁綠茶 好喝規好喝
還不如喝 大苑子 橙意滿滿
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
還不如喝 七盞茶 粒粒香橙
比較划算比較實在比較有特色
喝起來也比較不會這麼的甜
離開 迷客夏 會員絕對是這樣來的
會變一星也是這樣來的", 1 顆星 ,7,"茶,  綠茶, "
4,迷客夏 臺北士林店,"因應疫情，戴口罩，勤洗手，保持社交距離。
第一次造訪該店。
點了水漾檸綠，少糖（7分）正常冰35元，因為有KFC折價5元。
嗯，可能要正常甜比較剛好，少糖稍嫌不夠，檸檬清香，綠茶味不重，還可以。", 3 顆星 ,8,"茶,  綠茶,  檸檬, "
5,迷客夏 臺北士林店,"茶又澀又酸，跟其他分店差太多
平常都喝無糖，唯獨士林店半糖還是蓋不掉苦澀味 😮‍💨不過男店員服務態度超親切～ 給兩顆星就給他～
-
三杯飲料等了一個半小時都還沒做好
再扣一顆星😀", 1 顆星 ,13,"茶, "
6,迷客夏 臺北士林店,柳丁綠茶微糖還是太甜，建議微微糖，口感有柳丁皮澀味。, 3 顆星 ,17,"茶,  綠茶, "
7,迷客夏 臺北士林店,點珍珠伯爵紅茶拿鐵 沒有給我珍珠....超難過, 3 顆星 ,19,"珍珠,  茶,  紅茶, "
8,茶湯會 士林中正店,熱🔥燕麥紅茶還蠻好喝的，45元價錢中等，服務人員態度熱情，有街口行動支付～, 4 顆星 ,20,"茶,  紅茶, "
9,茶湯會 士林中正店,"期間限定的水蜜桃鮮果綠讚啦～～
本身對茶湯會真的還好 但這款可以
雖然水蜜桃味到沒有很重 但飲料是好喝的
裡面還有寒天可以咬咬（咀嚼系的", 3 顆星 ,22,"寒天,  茶,  茶湯, "
10,茶湯會 士林中正店,"士林捷運站一號出口右手邊走路10秒就到了，生意超級好的飲料店
茶湯會大家應該不陌生，他們家的茶喝起來特別順口

以下是個人推薦飲品：
蔗香紅茶$30：大杯的紅茶最適合夏天了！建議半糖去冰，味道很剛好，負擔感也不會太大
觀音拿鐵$60：名列茶堂會排行榜的第一名！不得不說真的超級好喝，喜歡飲料加鮮奶的朋友們會喜歡這一款，很滑順的口感，第一口喝到的時候很驚艷，之後就愛上了這一款飲料，也可以另外加珍珠，非常有飽足感（雖然熱量也很可觀）
珍珠冬瓜觀音$55：個人也非常喜歡這一款，如果不能喝奶類或是覺得鮮奶負擔感有點重，可以點這杯，味道層次很豐富，不知不覺就會喝完這杯飲料了", 5 顆星 ,23,"珍珠,  鮮奶,  茶,  茶湯,  紅茶, "
11,茶湯會 士林中正店,士林捷運站一號出口右側，手搖飲A級戰區，人氣很旺，排隊等飲料的人很多，珍珠口感好，現在持台灣Pay消費滿50元有折價10元，很划算~, 4 顆星 ,24,"珍珠, "
12,茶湯會 士林中正店,"今天點的是芭樂檸檬愛玉綠茶 - 半糖/微冰/去茶.
夏天喝起來蠻清爽的, 但芭樂的味道偏淡, 愛玉的份量也不多.", 3 顆星 ,27,"愛玉,  茶,  綠茶,  檸檬, "
13,茶湯會 士林中正店,"我已經第二次買一樣的飲料沒加珍珠了
上次我以為我漏講了，這次再試一次，還是一樣的
每次都是等公車時買著等，往往發現都在公車上了", 1 顆星 ,29,"珍珠, "
14,茶湯會 士林中正店,"茶湯會 會員卡 有新舊卡.
今天沒注意拿到舊卡消費.
😍店員們很親切.幫忙講解舊卡無法累點.
👍飲料好喝！", 5 顆星 ,30,"茶,  茶湯, "
15,茶湯會 士林中正店,點微糖變成無糖的，店員點餐時沒有和客人確認品項，店裡好像也沒有螢幕可客人自己看店員有沒有打錯。點鐵觀音茶香味以前在別間店點很濃這間很淡和水差不多且泡泡超多，, 2 顆星 ,32,"茶, "
16,茶湯會 士林中正店,"芝麻拿鐵75
珍珠芝麻燕麥拿鐵75
我點芝麻拿鐵+珍珠80

沒有主動詢問要不要點珍珠芝麻燕麥拿鐵比較划算！
加我只有2位客人，店員3位，不至於沒空介紹吧？

螢幕廣告顯示街口支付折5元，結果也沒折。

因為是熱飲，所以是中杯的，不過是加了芝麻粉而已，價格直接暴漲，味道真的就是珍奶加芝麻粉而已⋯。

這樣的價格和服務，不會想再去消費！
難怪客人都聚集在五十嵐。", 1 顆星 ,33,"珍珠, "
17,茶湯會 士林中正店,"今天晚間9點多去消費，覺得體驗十分良好，
櫃檯點餐女店員與做茶小妹都很親切，
飲料也很快就拿到了，另個在裡面但我不太清楚他的工作的內容的男店員也好帥喔", 5 顆星 ,39,"茶, "
18,麻古茶坊台北士林店,"點餐跟取餐的速度蠻快的
楊枝甘露的芒果跟葡萄柚都非常酸、冰沙的芒果味滿淡的、茶凍也偏苦，整體來說沒有很和諧，可能是季節不對，有點失望", 4 顆星 ,47,"茶, "
19,麻古茶坊台北士林店,今日在買了杯奶茶店員幫我用紙杯裝，我放置外送杯架上但仍然翻到整杯奶茶全部倒至外送箱裡，回店裡跟它們說確拉出一堆員工說它們出飲料前有翻倒確定並無露出質疑是我個人問題，我說如果這紙杯密封性這麼不好是不是出飲料前該提醒客人，他們員工回我說我們都有提醒小心拿了並且紙杯本來就是這樣不能倒放，這種說法讓我非常不能接受妳們出貨前沒提醒飲料密封性不好不能倒放而且還認為紙杯本來就這樣是客人自己常識不夠，我自己本身是外送員別家飲料店用紙杯就不會像這樣這麼誇張整杯爆開，店員態度更是缺乏教育。如遇這種情形應該詢問客人是不是倒放不管是不是客人問題都應該馬上補換給客人並貼心提醒客人放置飲料時請正放勿傾倒或倒放，這本來就是店家該告知的義務現在卻反而告罪是客人不是，而且店家的飲料紙杯跟密封是否應該改進如不然這種情形定然會再度發生，員工應對是否要在教育。整個外送箱全部都是奶茶裡面一堆東西都遭殃光清理就是花費一番功夫，整個一肚子火啊, 1 顆星 ,48,"茶,  奶茶, "
20,麻古茶坊台北士林店,"每年夏天最期待的就是喝麻古的芒果系列飲品，最愛的就是楊枝甘露🥰🥰
新鮮芒果冰沙+綠茶凍+微苦的葡萄柚果粒，真的是太消暑解渴了，將有名的港式點心大變身，變成手搖飲，推薦給愛喝新鮮芒果🥭飲品的大家😘😘😘", 5 顆星 ,52,"茶,  綠茶,  綠茶凍, "
21,50嵐 士林捷運店,"點了我的個人50嵐招牌
烏龍瑪奇朵+珍波椰（不用加錢）+冰淇淋（10元） 微糖去冰
共$65
還是維持水準所以給推

個人給星標準:
一星: 完全不是我的菜
二星: 食物表現不好，或是品質/CP值未達期待，不太可能再訪
三星: 味道/CP值綜合起來算普通
四星: 有些品項好吃，或CP偏高，有可能再訪
五星: 有品項非常好吃或CP爆高，或整體用餐感覺很好，極大可能再訪", 5 顆星 ,60,"冰淇淋, "
22,50嵐 士林捷運店,個人喜歡冰淇淋紅茶（無糖），在捷運站出口處，蠻多人排隊的，隔壁很多家飲料店。, 5 顆星 ,61,"冰淇淋,  茶,  紅茶, "
23,50嵐 士林捷運店,飲料做的很好喝而且很快！波霸每次吃都很入味！有些感覺都沒味道，喝過少數50嵐優質的店家, 5 顆星 ,64,"波霸, "
24,50嵐 士林捷運店,"好喝不雷，比例調的剛剛好
接近休息時間可能有些茶會沒有，可以用其他茶類代替", 4 顆星 ,69,"茶, "
25,50嵐 士林捷運店,我弟剛剛去買飲料 點了兩杯黃金烏龍拿鐵加大小混珠跟一杯四季春加珍波椰 結果飲料杯上面沒貼點的標籤 連發票都沒開 而且兩杯珍奶裡面都沒有珍珠 最誇張的還不是這個 他的黃金烏龍拿鐵 沒有茶味 連奶都淡到一個爆炸 根本就是杯奶水 黃金烏龍拿鐵要65欸  超級難喝 便利商店的水都比較好喝  顏色淡的跟水一樣 只是有混一點點牛奶 連五分的甜味都沒有  是怎樣 欺負他小孩 喝不出味道是不是 要打1950客訴 但連發票都沒開 標籤也沒貼 根本不知道是點了什麼鬼 就算是沒發票要打給國稅局 他們也是請人假裝成路人去買而已  剛剛看其他人的評論只有飲料被亂改 那店員根本欺負他是小孩 所以連發票都沒給 搞不好還偷偷把錢吞掉 兩杯奶水到底是甚麼鬼 而且沒開發票是逃漏稅欸 不會再去這家買了, 1 顆星 ,71,"珍珠,  茶, "
26,50嵐 士林捷運店,店員服務親切，飲料都有按照需求調整口味，心中最好喝的奶茶，經過一定會訂購👍👍👍, 5 顆星 ,72,"茶,  奶茶, "
27,50嵐 士林捷運店,"50嵐還是習慣喝這間分店
紅茶拿鐵非常好喝不會味道過淡！超推👍", 5 顆星 ,74,"茶,  紅茶, "
28,五桐號WooTEA士林中正店,"今天喝了五桐號手沖泰奶，味道還不錯，上面厚厚的奶霜，很綿密
玉堂春茶王強調清新的梔子花香，還好吧~就是茶米茶的味道，不難喝，喝完很清爽", 5 顆星 ,80,"茶, "
29,五桐號WooTEA士林中正店,"頭一次喝店內招牌的茶飲，香味俱全、甜味適中，喝起來非常的舒服👍
歡迎來喝喝看喔！", 5 顆星 ,81,"茶, "
30,五桐號WooTEA士林中正店,"第一次喝，這杯真的名副其實，最完美手沖泰奶當之無愧！
五桐號也能喝得到泰奶了！這杯「最完美手沖泰奶」（65元／中杯），每日限量販售，嚴選泰國正宗老字號清萊茶葉，融合香甜煉乳奶水，打造道地的泰式奶茶比例，最上層還蓋滿厚厚一層鹹甜綿密的鮮奶奶霜，香甜南洋風情讓人彷彿秒飛到泰國。
奶霜加上泰式奶茶無敵搭，讓我喝了想再喝，不管多胖都沒差！", 5 顆星 ,82,"鮮奶,  茶,  奶茶, "
31,五桐號WooTEA士林中正店,"這次依然買熱門泰奶系列，很幸運5點半還能買到，士林中正店買兩杯泰奶還送泰國泡麵。

這次嚐鮮綠茶凍泰奶，意外發現新大陸，綠茶凍清爽味道與濃郁泰奶平衡的很好，味道層次更豐富又更加清爽順口，希望泰奶成為常態商品，真的很好喝😍😍😍", 5 顆星 ,83,"茶,  綠茶,  綠茶凍, "
32,五桐號WooTEA士林中正店,"點了招牌五桐茶，據說甜度固定 甜度是2分糖而已,結果喝起來也太甜了吧！！！！！！是做錯嗎....... 不過點了5杯吧都這麼甜

茶香味本身很不錯但是甜度實在不敢恭維

----------------
回覆：
嘉義新開了一間再點了一次
完全沒有貴店的那麼的甜！！！！！", 1 顆星 ,86,"茶, "
33,五桐號WooTEA士林中正店,很喜歡他們的桂花烏龍凍飲，香氣足夠，一點點甜度就很好喝！！五桐茶喝下去也很順口不澀～店員服務十分親切～, 5 顆星 ,88,"茶, "
34,五桐號WooTEA士林中正店,"綠茶凍五桐奶茶：
綠茶凍入口香氣十足，回韻口感很棒，與五桐茶相呼應，是很好喝的奶綠；連不愛咀嚼的我都被征服，連續喝了好多天。😂

五桐奶霜(冰甜固定)：
口感層次豐富，奶霜綿密、茶香爽口，很完美😍", 5 顆星 ,90,"茶,  綠茶,  奶茶,  綠茶凍, "
35,五桐號WooTEA士林中正店,"葡萄奶蓋冰沙超好喝
不過真的蠻貴的 有嘗試過就好
荔枝凍飲也不錯
五桐奶蓋超推！
不愧是近期蠻有名的手搖飲", 5 顆星 ,91,"奶蓋,  奶蓋, "
36,五桐號WooTEA士林中正店,"士林捷運站一號出口近期新開幕的飲料店！
最近很夯的飲料店當然要來嘗嘗看~
店面裝潢很明亮，店內飲料製作的空間也很乾淨
店員很親切，如有需要介紹飲品都很熱情！

推薦飲品：
招牌五桐奶霜(大杯$55)：店家的完美比例！因此甜度冰量是固定的，茶的基底是五桐茶，據說是五種茶葉調製而成的，個人還蠻喜歡的，有點點類似青茶與紅茶融合的口感，比較輕盈的口感，茶味不會太苦，搭配奶霜真的非常讚，喝起來很順口

綠茶凍五桐奶茶(大杯$55)：招牌五桐奶茶再加入綠茶凍真的是絕配！喜歡茶香的朋友推薦可以點，甜度建議三分糖即可~

招牌五桐茶(大杯$35)：店家的招牌商品，甜度冰量是固定的，茶的味道比較輕的感覺，類似青茶與紅茶的口感
老實人紅茶(大杯$35)：名字很有意思但其實就是紅茶哈哈哈哈，正常的紅茶口味，可以調整甜度冰量", 5 顆星 ,92,"茶,  紅茶,  綠茶,  奶茶,  綠茶凍, "
37,五桐號WooTEA士林中正店,"五桐號 3訪
目前喝的飲料都能選擇都選半糖少冰
有些飲料是不能選擇，固定味道

荔枝冰茶凍飲
杏仁凍五桐茶
招牌奶霜

我個人喜歡茶凍系列的
飲料有些3分糖就蠻夠的，不喜歡太甜
而且茶凍會比茶更甜一點
整體口感會比奶霜好

最喜歡杏仁凍
雖然不能選冰塊甜度，但整個冰融化也不太影響整體表現，覺得很厲害👍🏻", 5 顆星 ,93,"茶, "
38,五桐號WooTEA士林中正店,"原本點了一杯柚子冰茶，櫃檯是一個女店員，她說沒有了，後來改點一杯奶霜，我馬上拿出載具要掃描，她立刻說發票已印好，但是我連錢都還沒給，也沒有詢問是否要刷載具，感覺很不好，後來我詢問女店員是否可以加珍珠，女店員說不行因為我的飲料已做好，但男店員卻拿一杯不是我點的飲料給我，然後我就說這不是我點的飲料，並重複問女店員我的飲料還沒做，可以加珍珠嗎？女店員默不吭聲了一段時間，完全沒有理我的意思，讓人感受極差，這時男店員才拿了空杯幫我加珍珠做飲料，杯子也沒有貼標，我想是根本把我的飲料點錯！

週五是上班的最後一天，想買杯飲料犒賞這週的自己，沒想到碰上這態度差的女店員，讓人消費感受極差！", 1 顆星 ,94,"珍珠,  茶, "
39,五桐號WooTEA士林中正店,第一次嘗試鮮奶系列非常好喝！店員很親切，店內看起來也很乾淨衛生，下次會想再嘗試凍系列的飲品：）, 5 顆星 ,96,"鮮奶, "
40,五桐號WooTEA士林中正店,"飲料超好喝，尤其是五桐奶霜，好像用了他們特調的配方，跟外面的奶蓋喝起來完全不一樣。
重點是這間店店員超親切，就算人很多也不會等太久，以後來士林一定都要點一杯😍", 5 顆星 ,99,"奶蓋,  奶蓋, "
41,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"蘭葉那堤好喝👍🏼我點最低糖度二分糖
但剛拿到時那堤的顏色非常深咖啡色
(圖片的樣子是我自己加過牛奶拍的）
就是牛奶加的不夠多幾乎都是紅茶
相較其他飲料店的拿鐵的顏色較深色
喝起來茶味有點太重了一點點澀口
但回家後自己多加了兩公分的牛奶
顏色也變得比較奶色
就像一般飲料賣的紅茶拿鐵的顏色
這時飲料喝起來就變得很順口！
原本茶味就很突出加了牛奶變得很好喝
襯托出茶的香
所以給四顆🌟希望店家那堤牛奶可以再加多一點會更好喝😆", 4 顆星 ,100,"茶,  紅茶, "
42,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"這二杯飲料也太好喝
糖的比例，都有把水果味帶出來

超好喝的。", 5 顆星 ,103,"水果, "
43,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"周五想放鬆一下，跟同事們一起叫外送
點了芋頭牛奶
碎冰滿滿，沒甚麼芋頭味
連芋頭泥的感覺也沒有
根本在喝鮮奶剉冰", 1 顆星 ,105,"鮮奶, "
44,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"午后初訪，點的是萬波奶茶，記憶點最深刻的是店內點餐小姊姊有禮客氣以及特別的是居然播放是古典音樂Cello，讓未飲的我直接好感度上升，插下吸管啜飲一口，真是有質感的飲料，愉快的購買經驗。

好喝的飲料 + 客氣有禮的店員= 完美。", 5 顆星 ,106,"茶,  奶茶, "
45,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,店員人很好，飲料好喝，波霸家裡小朋友很喜歡👍🏼, 5 顆星 ,110,"波霸, "
46,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"目前喝過最合我口味的珍珠奶茶了！也是做外送才認識的店家,也有點過黑糖珍珠鮮奶,比某珍XX還要好喝！

不過第一次點我直接正常甜少冰結果我喝重甜的還覺得太甜,整個口感破壞掉,之後就點七分甜喝起來很剛好

如果怕太甜可以點五分甜就好,有一次買中山店的萬波不知道是不是店家差異,一樣點七分甜少冰結果喝起來像是五分甜...味道也沒這麼濃郁感

因為我本身很愛喝珍珠奶茶,士林店的萬波珍珠奶茶與黑糖珍珠鮮奶非常推薦喝看看", 5 顆星 ,112,"珍珠,  鮮奶,  茶,  奶茶, "
47,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"最愛紅豆粉粿
一杯覺得不夠🥰🥰🥰
員工們都很親切
會提醒飲料搖均勻
檸檬泡久會苦
總之推推！👍", 5 顆星 ,113,"檸檬, "
48,萬波島嶼紅茶 Wanpo Tea Shop 台北士林店,"蘭葉那堤，半糖好好喝☺️這款一定要微糖或半糖不然會偏苦喔！因為茶很濃❤️
同事跟我說它跟約翰紅茶公司的煮濃那堤類似我才買的，還真的有像！開心不用跑到內湖才喝得到了^^ 許願萬波快來北投開分店😗", 5 顆星 ,119,"茶,  紅茶, "
49,老賴茶棧-士林店,"全品項來店買五送一、外送買十送一，很划算
豆香紅茶一入口滿滿豆香焦味，加上紅茶的甘醇尾韻。樂福茶裡面還有ＱＱ的茶凍真的好吃，而且夏天開到凌晨１點半，夜貓子也有冰涼的飲料可以買", 5 顆星 ,120,"茶,  紅茶, "
50,老賴茶棧-士林店,位於捷運士林站1號出口右手邊，連著好幾家手搖飲店的其中之一間，當天點了冬瓜檸檬🍋加波霸和韓柚青茶，口味過關但是價格稍微有些偏高。, 4 顆星 ,121,"波霸,  茶,  檸檬, "
51,老賴茶棧-士林店,珍珠太后牛乳和珍奶口味做得很相近，有些店只有珍奶特別好喝，在老賴可以喝到好喝的珍珠鮮奶。, 5 顆星 ,122,"珍珠,  鮮奶, "
52,老賴茶棧-士林店,"有病嗎 uber eat點兩杯有珍珠的給我細吸管
是要怎麼喝 有夠不爽", 1 顆星 ,123,"珍珠, "
53,老賴茶棧-士林店,前幾天晚上因為不知道喝什麼，有請問店員一些推薦和茶類區別，店員雖然很熱情親切的給建議，但是喝到的茶卻有點酸掉的感覺，很像隔夜的茶⋯，第三顆星是給店員的，專業的手搖飲店的茶要每天換新才對吧，喝到酸掉的真的很無言⋯, 3 顆星 ,124,"茶, "
54,老賴茶棧-士林店,"下午在士林店買紅茶，三分糖蠻甜的😄
紅茶不錯喝，如果沒有澀口就更好了。", 4 顆星 ,127,"茶,  紅茶, "
55,老賴茶棧-士林店,女店員很親切，今天來嚐鮮布丁奶茶，店員推薦1分糖，果然很剛好，搭配統一布丁的甜，整體不會太膩，但就是口味普通, 5 顆星 ,128,"布丁,  茶,  奶茶, "
56,老賴茶棧-士林店,靠近捷運士林站一號出口，店員都很親切，紅茶好喝，比一般的飲料店甜很多，建議點一分糖就可以了~, 5 顆星 ,129,"茶,  紅茶, "
57,老賴茶棧-士林店,"要買隔壁的茶湯會.結果走錯店.
看菜單有點陌生但不疑有他.
拿出茶湯會會員卡時.店員說是隔壁店.
如果店員沒跟我說.我永遠都不會發現.
最後我將錯就錯點了一杯.還可以：）...
😅我後面下一位客人.熊貓快遞要茶湯會取貨.也是走錯店到老賴茶棧.", 5 顆星 ,132,"茶,  茶湯, "
58,老賴茶棧-士林店,老賴紅茶就是好喝的古早味紅茶，三分糖就很甜了，自行加上光O燕麥奶簡直是戒奶（茶）者的無敵奶茶，大推。, 4 顆星 ,135,"茶,  紅茶,  奶茶, "
59,老賴茶棧-士林店,"豆香紅茶💰45：
豆香味很夠，紅茶也有古早味的香氣。糖量的建議上，不喜甜者建議點一分糖，完全無糖喝起來很奇怪，平常喝半糖的人建議三分糖就夠了，這樣也比較健康（？😂

～2022.1", 5 顆星 ,137,"茶,  紅茶, "
60,老賴茶棧-士林店,紅茶不錯，但豆漿就顯得不夠香純，對我來說半糖就剛剛挺甜的剛剛好。, 4 顆星 ,139,"茶,  紅茶, "
61,COMEBUY_士林美崙店,"服務其實滿好的
飲料也很好喝
喜歡加粉條～～～

有的評論好奇怪
你要環保杯要載具是不會自己主動講喔
店員是會通靈嗎誰知道你放桌上是要用還是暫放啊等一下碰了又該該叫
沒收你服務費還要伺候你真辛苦

我自己也是裝環保杯跟載具的人
講了店員也都很貼心會幫忙用", 5 顆星 ,140,"粉條, "
62,COMEBUY_士林美崙店,不少茶的品項都有淡淡果香，喝起來爽口不太會澀, 4 顆星 ,142,"茶, "
63,COMEBUY_士林美崙店,最喜歡喝雙Q鮮奶茶, 5 顆星 ,144,"鮮奶,  茶,  奶茶,  鮮奶茶, "
64,COMEBUY_士林美崙店,港式奶茶超好喝！很道地的味道，雖然價位有點貴><, 5 顆星 ,148,"茶,  奶茶, "
65,COMEBUY_士林美崙店,"茶是現泡的
推薦玫瑰普洱奶茶", 4 顆星 ,157,"茶,  奶茶, "
66,TrueWin初韻 士林文林店,"初訪
士林夜市附近的飲料店
芝士奶式Q葡萄很好喝
裡面的QQ還是寒天很有嚼勁", 5 顆星 ,160,"寒天, "
67,TrueWin初韻 士林文林店,點了芝士奶蓋鮮草莓和芝士奶蓋Q芒果，芒果真的很好喝，有芒果和透明的QQ，配上芝士很對味！第二次購買的口味是楊枝甘露，我是點微糖少冰，對我來說甜度很剛好，口感我也喜歡，整體來說很好喝！, 5 顆星 ,162,"奶蓋,  奶蓋, "
68,TrueWin初韻 士林文林店,"初訪～
點了濃郁好韻紅 微微～淡淡紅茶香，與普通買的紅茶味道不大相同，不錯喝。", 3 顆星 ,163,"茶,  紅茶, "
69,TrueWin初韻 士林文林店,今晚的短髮女店員就算客人很多還是耐心的向我介紹飲品，推薦十分詳細，最後我點好韻紅茶那提，但另一位長髮女店員就突然過來態度十分不佳的向短髮女店員說不要賣紅茶那提，原因不知道為什麼，但是直接在點完單的客人面前這樣說實屬不妥，還是給五顆星評價因為短髮女店員的表現優秀也不因此打折！, 5 顆星 ,165,"茶,  紅茶, "
70,TrueWin初韻 士林文林店,"下午去排隊
買到節慶限量版茶飲
真的很開心
價錢是其次(就算貴也能接受)
重點是茶品包裝很逗趣
真心謝謝店內的帥哥美女
今天您們都辛苦了！", 5 顆星 ,166,"茶, "
71,TrueWin初韻 士林文林店,"今日使用700CC環保杯購買大杯純茶，點去冰無糖，
居然茶裝一半就開始一直加冰塊，冰塊加到7分滿就拿來給我們，
告知女店員這是700CC環保杯詢問大杯是幾CC怎麼少這麼多....
他就繼續幫我們加冰塊，整杯一半是冰塊!!喝起來像喝開水，請問這是貴店品質嗎??給人感官非常差，不會再去了，感覺是在欺騙消費者....", 1 顆星 ,173,"茶, "
72,TrueWin初韻 士林文林店,"7/25晚上九點半左右進店消費
員工態度很棒,奶茶也很好喝
但我們點的是珍奶...一顆珍珠都沒有
到家後才發現就沒有特別再跑一趟
下次可能要注意一下~", 3 顆星 ,175,"珍珠,  茶,  奶茶, "
73,TrueWin初韻 士林文林店,服務人員親切，環境乾淨，設有內用區（四個位子）奶蓋味道很輕可惜了點, 4 顆星 ,177,"奶蓋,  奶蓋, "
74,TrueWin初韻 士林文林店,珍珠給超少 沒在唬 飲料還有三分之二珍珠就沒了 是要不要這麼小氣, 1 顆星 ,178,"珍珠, "
