,location,comment,cm_star,ID,tagging
75,TrueWin初韻 士林文林店,"來逛士林夜市路過就被吸引進來了><
點了一杯芝士奶蓋鮮草莓

⭕ 第一口先不急的插吸管，把杯蓋打開，直接喝上一口芝士奶蓋，甜甜地又柔順的口感，都可以直接單吃起來了。
⭕ 之後再插吸管下去喝，草莓和奶蓋攪拌喝起來，甜甜微酸的好喝的停不來😋

⭕ 杯蓋上面的旋轉設計真的很厲害
⭕ 店員有認真介紹&服務態度也都很棒

----------------------------------------

意外的發現一間好喝的飲料店，推薦大家去喝喝看喔～有發現大家都在推薦水果茶，期待下次再來光顧嚐鮮。", 5 顆星 ,179,"奶蓋,  奶蓋,  茶,  水果, "
76,圓石禪飲-士林大北店,茶感覺不是很到位，喝起來有淡稀水份比例有點落差，粉圓有點硬及結塊多及少量，吸起來不是很順。, 2 顆星 ,180,"粉圓,  茶, "
77,圓石禪飲-士林大北店,鮮奶很淡，感覺有另外加水。黃金粉圓一樣很好吃！又Q又有蜜香味，因為店不多路過可以買, 3 顆星 ,181,"粉圓,  鮮奶, "
78,圓石禪飲-士林大北店,超級好喝的紅茶加珍珠只要1元真D佛系飲料店, 5 顆星 ,183,"珍珠,  茶,  紅茶, "
79,圓石禪飲-士林大北店,從大學喝到研究所畢業，只能說店員態度越來越差，是看在圓石奶茶的味道特別，經過都會買一下，不然每次來點飲料，店員有氣無力的都讓我感覺快被超度了。, 3 顆星 ,184,"茶,  奶茶, "
80,圓石禪飲-士林大北店,"麥茶好喝
格雷奶茶也好喝
買飲料還可以累點兌換
但是本來是實體卡有優惠
而且實體卡是花錢買的
現在更改線上
大家都可以免費成會員拿優惠
那本來實體卡的客人補個金額進會員
或有其他優惠感覺比較合理
不然感覺是白花錢買了………", 3 顆星 ,185,"茶,  奶茶, "
81,圓石禪飲-士林大北店,剛剛買冬瓜茶瓶裝要65，個人覺得蠻貴的，瓶裝其實也才大概1000cc如果再加微冰的話就跟一般手搖杯的大杯一樣，而且有花錢加珍珠結果沒加, 2 顆星 ,186,"珍珠,  茶, "
82,圓石禪飲-士林大北店,"買了一杯雲清烏龍加黑糖琥珀，
居然是九成的硬粉圓混少數幾顆Q粉圓，
這是拿隔夜粉圓出來賣嗎？！！！！！
做餐飲最重要的是食材品管，
已經那麼多客人反應粉圓是硬的，
店家卻視而不見，再三忽視問題，
如果出問題了，店家會負責嗎😡", 1 顆星 ,187,"粉圓, "
83,圓石禪飲-士林大北店,茶好喝粉圓好吃，XL杯就是爽！每次用熊貓點餐附註不需要吸管等需求都有被聽進去, 5 顆星 ,188,"粉圓,  茶, "
84,圓石禪飲-士林大北店,"復刻粉圓鮮奶茶好喝
但是珍珠太甜了
奶茶有種不同的味道很特別
晚上來點的時候工作人員偏少
櫃檯很忙碌  需要等一下時間
另外門口有個洗手台覺得很貼心", 4 顆星 ,190,"珍珠,  粉圓,  鮮奶,  茶,  奶茶,  鮮奶茶, "
85,圓石禪飲-士林大北店,"茶很淡，鮮奶也很淡，粉圓很硬很少
76大洋，嚇死寶寶惹😳", 1 顆星 ,195,"粉圓,  鮮奶,  茶, "
86,清心福全士林文昌店,"難怪大熱天
沒半個客人
店員態度超差
點了茶飲根本不理
兩個店員自顧自的對話

太差了～", 1 顆星 ,201,"茶, "
87,清心福全士林文昌店,"茶類完全沒味道！
點烏龍綠微冰微糖加厚，卻跟我說要加厚只能去冰，微冰無法加厚。買清心好幾年了。第一次被告知無法這樣調配。不會再去了！！！", 1 顆星 ,203,"茶, "
88,清心福全士林文昌店,"珍珠很Q,奶茶味不足，半糖喝起來像微糖，態度就是沒基本的問候請問、你好、謝謝這樣。", 3 顆星 ,204,"珍珠,  茶,  奶茶, "
89,清心福全士林文昌店,晚上8點多買青茶加珍珠，珍珠吃起來整個是酸的，一整個超難喝，葡萄柚綠茶也是感覺比例就沒調好，整個超苦。, 1 顆星 ,205,"珍珠,  茶,  綠茶, "
90,清心福全士林文昌店,點了一杯溫的鮮奶茶，結果給了我一杯滾燙的，而且還用塑膠杯，女店員臉很臭，男店員至少服務態度親切而且也提醒小心燙口，女店員員工訓練有待加強, 1 顆星 ,212,"鮮奶,  茶,  奶茶,  鮮奶茶, "
91,清心福全士林文昌店,這是我喝過最難喝的一間分店...紅茶微冰，但整杯都是冰塊融化後的生水味，完全沒茶味, 1 顆星 ,214,"茶,  紅茶, "
92,清心福全士林文昌店,服務態度差，點熱的飲品卻給常溫的飲品，而且茶味很淡。不會想來買第二次。, 1 顆星 ,215,"茶, "
93,CoCo都可 士林中正店,"上次有個男店員服務態度超好的，可能就是大家評論裡那位很受歡迎的人，不過今天沒遇到。

今天一樣點了最愛的芒果冰沙和芒果綠茶，但是女店員不是說冰沙不能調整嗎？還是誤把芒果綠的糖、冰key到冰沙去了？
點餐時覺得音樂蠻大聲的，可能是原因。", 3 顆星 ,220,"茶,  綠茶, "
94,CoCo都可 士林中正店,等了半小時以後，拿不到珍珠鮮奶茶，說沒珍珠了，換成布丁，之後布丁只有兩口不到的量，感覺超差，CP值超低。, 1 顆星 ,226,"珍珠,  布丁,  鮮奶,  茶,  奶茶,  鮮奶茶, "
95,CoCo都可 士林中正店,"最近有一個新的男店員，胸前有刺青，雖然體格壯碩，但高八度的笑聲真有違和感😅
不過態度很好很親切👏👏
coco的百香雙響砲跟奶茶三兄弟
一直是我的心頭好❤️", 5 顆星 ,232,"茶,  奶茶, "
96,CoCo都可 士林中正店,服務態度很好但我點百香綠茶微糖去冰以為在喝水 超級無敵淡浪費50塊真的不好喝, 3 顆星 ,236,"茶,  綠茶, "
97,龜記茗品 士林中正店,就在士林捷運站出口右邊很方便，有一整排的飲料店可以挑，點了店內推薦的紫葡蘆薈春💰69元，甜度最低ㄧ分，店員提醒甜度低味道會較不夠，點了三分覺得剛好。只是喝不出主体的味道。, 5 顆星 ,240,"蘆薈, "
98,龜記茗品 士林中正店,"第一次點蘋果紅萱 好好喝 ❤️
茶味跟蘋果的味道完美融合
微糖微冰剛剛好
喜歡甜一點的建議可以半糖", 4 顆星 ,243,"茶, "
99,龜記茗品 士林中正店,今天看到新產品上市立刻來嚐鮮，紫葡蘆薈春真的好好喝，而且蘆薈給好多，差點吃不完，店員都很有禮貌👍, 5 顆星 ,245,"蘆薈, "
100,龜記茗品 士林中正店,"服務態度欠佳 沒聽清楚就把飲料用甩的😎
6/23 12:31 四季春清茶 結帳的女員工（好像有戴眼鏡）
正確的說是用力甩丟放在檯子上 （如果甩到身上我還真的會傻眼）只是因為我點飲料剛開始有點小聲她就不爽了欸 很有氣勢喔！教育她可能會找藉口只是手滑🤔", 1 顆星 ,247,"茶, "
101,龜記茗品 士林中正店,今天開開心心點了三杯飲料，在紫葡蘆薈春裡喝到鐵絲或鋼絲的東西，好險沒吞下去🥲請你們在注意一下，給三顆是飲料真的好喝還有店員可愛親切☺️, 3 顆星 ,248,"蘆薈, "
102,龜記茗品 士林中正店,龜記濃乳茶的味道較濃，好喝。, 4 顆星 ,254,"茶, "
103,龜記茗品 士林中正店,今天點了一杯柳丁翡翠 回家滿心期待打開要喝的時候 發現只有綠茶….., 1 顆星 ,258,"茶,  綠茶, "
104,龜記茗品 士林中正店,"龜記濃乳茶、小農鮮奶茶、極品奶茶都喝過，龜記濃乳茶最好喝

但他們家的飲料上面都有一層厚厚的泡沫，我拿到家時上面封膜都要爆炸了", 5 顆星 ,259,"鮮奶,  茶,  奶茶,  鮮奶茶, "
105,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,"凍檸茶超讚！ 大推👍🏼
而且老闆很幽默⋯^ …", 5 顆星 ,263,"茶, "
106,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,老闆人超好顆顆奶蓋綠超讚, 5 顆星 ,265,"奶蓋,  奶蓋, "
107,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,仙草凍鮮奶，超奶超好喝🤩� …, 5 顆星 ,267,"仙草,  鮮奶, "
108,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,凍檸茶好喝❤️❤️, 5 顆星 ,271,"茶, "
109,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,"價格以台北士林來說算平價
奶蓋綠茶的奶蓋是甜的的超厚奶蓋", 4 顆星 ,273,"奶蓋,  奶蓋,  茶,  綠茶, "
110,好吸HITS THE SPOT大南店-手搖飲店|飲料店推薦|,奶茶好喝！, 5 顆星 ,277,"茶,  奶茶, "
111,甘蔗農夫茶飲店（士林總店）,2022/06/11初訪，招牌甘蔗清茶青茶$55，就是甘蔗汁加綠茶的感覺，很特別，茶味不苦，滿香的，甘蔗的甜度也ok，但另一半還是覺得太甜，下次再試其他款, 4 顆星 ,280,"茶,  綠茶, "
112,甘蔗農夫茶飲店（士林總店）,很好喝，以前經過總是在豔陽下，這兒沒什麼行道樹，一定會買一杯原味甘蔗青茶消暑，但最近買罐裝回家發生了悲劇，瓶子居然在開冰箱時墜落碎片噴飛，地板擦了五回才沒那麼黏，都還沒開始喝就沒了，對不起製作甘蔗汁的人浪費了，以後請各位還是帶自己的水壺去裝，環保又安全。, 5 顆星 ,282,"茶, "
113,甘蔗農夫茶飲店（士林總店）,點了招牌甘蔗青茶和招牌甘蔗檸檬，點完沒多久就拿到飲料，店員動作敏捷快速，飲料好喝又不會太甜。, 5 顆星 ,283,"茶,  檸檬, "
114,甘蔗農夫茶飲店（士林總店）,外頭三十幾度的高溫來一杯甘蔗青茶真是透心涼，不會太甜茶味清香，真的很棒！, 5 顆星 ,285,"茶, "
115,甘蔗農夫茶飲店（士林總店）,還算不錯喝！記得已經開一陣子了！最喜歡他們家的甘蔗青茶，甘蔗果汁搭配青茶那一種感覺很順口，不會死甜而是甘蔗的那種自然甘甜味，這次又嘗試了甘蔗金拮，自然的果酸喝起來真的很難停止，我想之後我還會找身邊的三五好友來一起買的，如果覺得小杯跟大杯量不夠過癮的話，還可以選擇有大瓶子裝的尺寸，雖然比較貴但是絕對是很值得的，重點是瓶子喝完之後還可以重複利用，瓶身的造型很現代化不會很落伍的感覺，現代人雖然很愛喝手搖飲，但普遍都不是很健康的甜與糖量，甘蔗農夫所出產的飲料絕對是很符合大家愛的手搖飲風格也同時兼具著健康的部分，由甘蔗農夫幫我們把關著身體的五臟六腑絕對是很放心的，期待之後回購的那天到來，相信每一次喝不一樣的飲品都會是有不一樣的驚喜，也希望推薦給朋友嘗試的時候朋友會覺得很好喝很滿意，再進而推薦給更多想要健康的人飲用。, 5 顆星 ,287,"茶, "
116,甘蔗農夫茶飲店（士林總店）,"IG: heathyfoodtea0958

簌了一口#台灣四季春青茶
老闆！你的茶真的鮮欸😍

台灣四季春該有的花香裡帶著微微梔子花、茉莉花晨間的鮮香與嘴裡不澀回潤甘甜的滋味口感是杯好茶❤️

下次再來喝喝厲害的甘蔗系列~", 5 顆星 ,288,"茶, "
117,甘蔗農夫茶飲店（士林總店）,"甘蔗飲料甜度固定無法調整，現場可使用LINEPay或街口支付。

🔸招牌甘蔗青茶
甘甜順口不澀，好喝。

🔸甘蔗鮮橙綠
甘蔗味跟柳橙味道意想不到的適合，入口先是甘蔗溫潤的甜，後面隨即帶出柳橙味，相當甘甜好喝的一款飲料。

🔸招牌甘蔗檸檬
簡單來講就像是加了甘蔗糖的檸檬汁，喝起來比較溫和不刺激。", 4 顆星 ,289,"茶,  檸檬, "
118,甘蔗農夫茶飲店（士林總店）,"飲料好喝！
推薦甘蔗檸檬，甘蔗青茶！
之前被同事推薦去買，不小心在要騎車時掉到地上打破流一地，店家居然霸氣的直接再請一杯！非常感謝您的心意！", 5 顆星 ,294,"茶,  檸檬, "
119,甘蔗農夫茶飲店（士林總店）,"2020年路過造訪，之後成為常客！每次至少兩杯以上！
甘蔗的香氣👍🏻 大推甘蔗鮮奶和甘蔗鮮橙！", 5 顆星 ,295,"鮮奶, "
120,天仁茗茶 士林店,在士林榮華市場入口處的左側處，我愛喝芋香奶綠鮮奶的真的很好喝110元，熱飲的部分我推薦菊花普洱茶70元，同事都很愛喝他的珍珠奶茶著很Q彈，珍珠奶茶鮮奶的大杯$90 ，中杯$70 ，店內還有賣很多的茶品包含茶葉，禮盒樣品十分的多，蠻適合買來送長輩的，現在有特惠活動還蠻優惠的，我有買綠茶芥末花生真的還蠻好吃的很特別的味道，朋友請我買919茶王說他喝過很多次覺得蠻好喝的，裡面的服務人員態度十分親切，飲料的服務人員也是一樣，在中正路上墊腳石書局的正對面，付款方式有多種行動支付也蠻方便的～, 5 顆星 ,300,"珍珠,  鮮奶,  茶,  綠茶,  奶茶, "
121,天仁茗茶 士林店,"因應疫情，戴口罩，勤洗手，保持社交距離。
2022／09／12首次造訪該店家。
點了漂浮青檸蘋香大杯100元。
檸檬味很重，還有很多渣（應該是檸檬皮，果肉之類）但因為渣導致口感不好。而且因為檸檬味太重，造成漂浮抹茶冰淇淋感受很微弱，更不用說蘋果味了。
總結就是不搭嘎。
天仁茗茶很少踩雷，今天遇到了XD。", 2 顆星 ,301,"冰淇淋,  茶,  檸檬, "
122,天仁茗茶 士林店,以前喝過的天仁茗茶，滿口茶香，最近給它幾次機會，買了鮮奶綠、金香奶茶、茶香奶綠，全都一樣，只是加了糖跟水的東西，完全沒有茶香味，真令人失望, 1 顆星 ,302,"鮮奶,  茶,  奶茶, "
123,天仁茗茶 士林店,"【貝里大吉嶺紅茶+珍珠 75元】
被熱情到店員推銷成功。
加入覆盆子的大吉嶺，風味多了酸香層次，珍珠也Q軟適中；價位偏高，偶一試可！", 5 顆星 ,304,"珍珠,  茶,  紅茶, "
124,天仁茗茶 士林店,"2022/01
點了一杯913茶王大杯無糖少冰，用悠遊卡支付，獲得悠遊卡公司跟天仁茗茶合作的紅包袋，上面有石虎，很可愛！

不過這間分店的913茶王較澀（相較我喝過的其他間）", 4 顆星 ,305,"茶, "
125,天仁茗茶 士林店,茶都淡了還繼續賣，搞什麼, 1 顆星 ,306,"茶, "
126,天仁茗茶 士林店,普普通通，去冰喝起來感覺是涼又沒有到涼的感覺，不像是手搖過，但珍珠不錯, 3 顆星 ,308,"珍珠, "
127,天仁茗茶 士林店,"飲品裝的太滿容易溢出
鮮奶使用鮮乳坊還不錯", 2 顆星 ,309,"鮮奶, "
128,天仁茗茶 士林店,"品質很差
還是天仁品質都跑掉了？
茶王➕蜂蜜
沒有茶香，沒有蜂蜜香味
最後還套水！😞😞應該要問一下客人吧", 1 顆星 ,310,"茶, "
129,天仁茗茶 士林店,"和一般飲料店不同，真的像是茶葉沖泡的味道，有回甘的感覺。
不過店員服務態度不是很好…比較可惜。", 4 顆星 ,311,"茶, "
130,天仁茗茶 士林店,"喝了上百次的913無糖茶王，喝到有糖的反應給店員，得到傻眼的回覆，這是回甘，回甘，回甘...請問回甘跟加五分糖我會喝不出來嗎？🤔🤔
我不是奧客，但你們完全瞪大眼睛看我加上皺眉頭，服務業應該不是這樣吧！！！
最後，我把他倒掉了，因為這杯茶真的不是回甘😤
也許你覺得甜的沒差，但有些茶飲真的無糖才好喝！！", 3 顆星 ,312,"茶, "
131,天仁茗茶 士林店,服務態度有待加強，前面一個客人點杯飲料可以弄5分鐘！我點杯茶、溫的無糖，講了3遍，還一直問要加珍珠嗎？甜點、冰塊？, 1 顆星 ,317,"珍珠,  茶, "
132,天仁茗茶 士林店,我自己常常在西門捷運站附近的天仁茗茶買奶茶，多久可以出一杯是很固定的，今天到附近等公車，眼看還有4分鐘，而前面只有1-2個人在等，但眼看著公車準時到，我的那一杯都還沒開始做，因為我的公車班次少、我又趕時間，說下次再來領，後面慢吞吞製作的人員（當時才剛完成前一杯、我的那杯還沒做）說不行，然後把我的材料下了⋯⋯據我目視觀察，兩位服務人員都呈現一個懶洋洋的狀態，不像西門店手腳俐落快速，可能是來客數沒有敏捷的需要，但應變能力跟服務意識不足則是可以改進的。, 2 顆星 ,318,"茶,  奶茶, "
133,可不可熟成紅茶-台北士林店,"胭脂紅茶終於回來了!!
跟別家店比起來比較好喝!不澀~回甘!
櫃檯人員親切有禮~太冰太甜都會告知!!~
推薦的無糖紅茶
試起來還不錯👌", 5 顆星 ,320,"茶,  紅茶, "
134,可不可熟成紅茶-台北士林店,"我想請問一杯飲料需要加到一整顆檸檬？
我到底在喝飲料還是吃水果阿
再加個冰塊 喝個兩口就沒了
一杯賣我70塊
好樣的阿", 1 顆星 ,321,"檸檬,  水果, "
135,可不可熟成紅茶-台北士林店,"現在有超可愛的青花瓷寶可夢聯名飲品喔！
覺得胭脂多多好好喝！蜜桃紅茶加多多～(((o(*ﾟ▽ﾟ*)o)))但很奇怪我以為杯子是胖丁的但是拿到卻是妙蛙種子=3=

更新～夏天喝荔麗紅茶～裡面有白玉和耶果～無糖微冰還不錯", 4 顆星 ,322,"茶,  紅茶, "
136,可不可熟成紅茶-台北士林店,交通便利，離士林捷運和小北街公車站很近，店員會提醒正常甜度會很甜，點的是熟成紅茶，中杯半糖熱的30元，覺得比一般茶飲店的正常甜還要甜，這次跟寶可夢聯名，包裝設計覺得很值得入手，買了皮卡丘環保提袋，320元有點小貴，但質感還不錯, 4 顆星 ,325,"茶,  紅茶, "
137,可不可熟成紅茶-台北士林店,"可不可紅茶就那樣，差不多，還不錯啦！
這家可不可我來買過兩次
兩次都是跟77一起喝的
上一次的見面是3/4
8/25我們終於見面了
兩個人都好尷尬喔
能在七夕見面對我來說
就是最好的禮物", 4 顆星 ,326,"茶,  紅茶, "
138,可不可熟成紅茶-台北士林店,"從台中就喜歡上的可不可，士林就有了～ 🎉

他們不是讓你喝一口就驚艷的超貴飲料
而是一位可以陪你一路吃完夜市的夥伴

新包裝也真的很好看
自己個人蠻喜歡無雙紅茶，口味蠻特別的
-
如果你在士林想一路吃吃喝喝，黑糖珍珠鮮奶那種就完全不適合你唷！", 4 顆星 ,327,"珍珠,  鮮奶,  茶,  紅茶, "
139,可不可熟成紅茶-台北士林店,"位於士林夜市的手搖飲店
店內裝潢的很有特色
可以拿著飲料拍網美照~

第一次點可能會看不太懂品名
旁邊有小字說明不用擔心
珍珠都是白玉珍珠（$10）
推薦品項：熟成紅茶、春芽冷露", 5 顆星 ,328,"珍珠,  茶,  紅茶, "
140,可不可熟成紅茶-台北士林店,連紅茶都有很多不同選擇，還有詳細的甜度、冰塊比例圖示, 4 顆星 ,330,"茶,  紅茶, "
141,可不可熟成紅茶-台北士林店,可不可熟成紅茶是我近期內喝過口感最好的紅茶，店內的裝潢也十分美觀，重點是價格也很親民啊！, 5 顆星 ,332,"茶,  紅茶, "
142,可不可熟成紅茶-台北士林店,經過士林這家有一面紅茶罐的牆面較別緻首次嚐試紅茶搭配的各式飲品太妃紅茶有些許咖啡味, 3 顆星 ,334,"茶,  紅茶, "
143,可不可熟成紅茶-台北士林店,店員都很親切，紅茶很好喝 🍵不喜歡太甜的可以微糖哦！, 5 顆星 ,337,"茶,  紅茶, "
144,可不可熟成紅茶-台北士林店,"通常在這裡我會點熟成紅茶
整體來說是好喝的
但是有時候會喝到稍微有點淡
茶味沒那麼重的紅茶", 3 顆星 ,339,"茶,  紅茶, "
145,珍煮丹 士林大北店,我通常都點黑糖珍珠鮮奶，珍珠泡在黑糖裡已經蠻甜了，我們都點無糖（不會再另外加黑糖）；珍珠黑糖味很濃，鮮奶滑順。, 4 顆星 ,340,"珍珠,  鮮奶, "
146,珍煮丹 士林大北店,剛剛11點多的那個服務員態度服務超棒的，因為點的是微糖，稍稍覺得喝起來沒有那麼濃郁，珍珠是小顆，Q度與黑糖香氣還蠻剛好的。, 5 顆星 ,342,"珍珠, "
147,珍煮丹 士林大北店,生意蠻好的飲料店，招牌是黑糖珍珠鮮奶（中杯$55，大杯$75），蠻甜的，怕甜的朋友可以調整一下冰塊糖度喔~, 5 顆星 ,343,"珍珠,  鮮奶, "
148,珍煮丹 士林大北店,買日月潭紅茶 ，跟水一樣非常淡，完全沒茶味...2/18號買的，跟糖有沒有加無關，是茶真的是白開水，一個男店員態度也不是很好, 1 顆星 ,345,"茶,  紅茶, "
149,珍煮丹 士林大北店,點了兩杯飲料都是無糖微冰，但喝起來像其他飲料店的全糖⋯⋯雖然兩杯飲料都有加珍珠但也不至於這麼甜吧！, 1 顆星 ,346,"珍珠, "
150,珍煮丹 士林大北店,"好喝歸好喝，招牌大杯的要70，珍珠黑糖味沒有很濃，到後面是蔗糖味，整體還不錯喝

蜂蜜檸檬菊花茶，圖片上是有菊花，但實際上並沒有

另外店家不會問要不要塑膠袋，所以每杯都會直接裝，個人覺得很不環保", 3 顆星 ,347,"珍珠,  茶,  檸檬, "
151,珍煮丹 士林大北店,珍珠的黑糖味比預期的低一點，糖漿有種蔗糖感覺，飲料價位高所以這樣表現只能說中規中矩，而開發票這點倒是很值得鼓勵！如果喝不到陳三鼎，這邊會是可以替代的解饞飲料！, 4 顆星 ,349,"珍珠, "
152,珍煮丹 士林大北店,還不錯喝的黑糖珍珠鮮奶茶，黑糖味很香。泰泰鮮奶茶珍珠，黑糖味不會搶過泰式奶茶的味道，是好喝的！, 4 顆星 ,352,"珍珠,  鮮奶,  茶,  奶茶,  鮮奶茶, "
153,珍煮丹 士林大北店,點了基本茶品，感覺跟之前比，沒這麼香甜，而是苦澀，波霸也不夠甜。, 3 顆星 ,354,"波霸,  茶, "
154,珍煮丹 士林大北店,"有夠慢
有夠會聊天
一樣的問題 問兩次
懷疑新手
珍珠現煮？奶現擠？", 1 顆星 ,356,"珍珠, "
155,珍煮丹 士林大北店,這是一家讓我愛上珍珠奶茶的店, 5 顆星 ,357,"珍珠,  茶,  奶茶, "
156,珍煮丹 士林大北店,"建議總店把加盟收回來，免得砸壞自己的招牌

黑糖珍珠厚鮮奶的奶茶太稀，奶蓋比例不對太鹹，是喝過最難喝的珍煮丹

能理解店面不在主街上人流較稀少，但偷工減料絕對不是解決問題的方法", 1 顆星 ,358,"珍珠,  奶蓋,  奶蓋,  鮮奶,  茶,  奶茶, "
157,50嵐 士林文林店,每次去買珍奶🧋每次喝味道都不同，有的沒茶味，沒奶味，今天買跟開水一樣什麼味道都沒有 還遇到沒看過女店員態度臉色很不好！在飲料工作過的我在想：飲料調配不是有固定比率嗎？為什麼每次去買味道差那麼多？這叫就員工特調嗎？怎麼調看員工心情？今天買感覺開水跟珍珠調配完全沒味道，越喝越氣…這是最後一次購買！, 2 顆星 ,361,"珍珠,  茶, "
158,50嵐 士林文林店,安心服務公約寫心酸的？叫客人戴口罩，自己廚房員工不戴口罩在煮茶、煮珍珠，0確診也不必這樣鬆懈吧！, 1 顆星 ,364,"珍珠,  茶, "
159,50嵐 士林文林店,今天午餐後1點多去買的，有個刺青女店員態度超好，我叫三杯溫度、糖、加料都不同分開裝，也做的很好，泡飲料有個胖胖男生平劉海很會泡金吉檸檬+耶果、珍奶🧋，好喝到炸鍋👍, 5 顆星 ,371,"檸檬, "
160,50嵐 士林文林店,"這是前陣子發生的事情，當時很生氣，
卻沒想到可以在GOOGLE評論寫下評價，
後來想到就回來寫評論，順便給大家做一個警醒，
以下描述句句屬實。

2021/9/4 19:39，
打給50嵐士林文林店，
向店員(女)詢問是否有小珍珠，
在得到確認的答案後，點了一杯中杯混珠奶茶，
並且告知店家要自取，店員告知我20分鐘後，
也就是20:00可以去現場自取，
到了晚上八點整，來到店門口，告知店員是來自取的，
沒想到店員(男)竟然跟我說紅茶已經沒有了，
問我要不要烏龍或四季，
我拒絕後便離開了。
很驚訝50嵐會有這樣的處理方式，
當下不確認是否有存貨，為何要告知消費者可以晚上八點過去自取?
這20分鐘我完全沒有收到任何一通電話告知我沒辦法做混珠奶茶，
等到現場，店員才若無其事的說沒有紅茶了。
根本把消費者當白痴耍。

雖然已經過了2個月了，
當時最基本的應對進退都做不好，
也不知道現在是不是有「確實」的改進，
總之還是不要對這家50嵐抱有太大的期待。", 1 顆星 ,372,"珍珠,  茶,  紅茶,  奶茶, "
161,50嵐 士林文林店,我認為這家五十嵐有堅持本來的味道，喝過這麼多間五十嵐，很多間味道都跑掉，唯獨這家喝了幾十年都沒有變，波霸也是煮的非常好，軟硬適中甜味也夠，值得再來, 5 顆星 ,377,"波霸, "
162,50嵐 士林文林店,"今天晚上9:30點餐的時候店員就一直聊天了
點了一杯紅茶拿鐵+混珠
啊結果拿到就沒給珍珠！
所以就根本顧著聊天：）

下次可以不要在聊天了嗎", 1 顆星 ,379,"珍珠,  茶,  紅茶, "
163,泰愛了 手工泰式奶茶 士林總店,五彩繽紛選擇很多，，喜歡手工茶濃泰奶，好香好好喝，老闆娘態度很親切, 5 顆星 ,381,"茶, "
